"","country","td_ICCPR","td_ICESCR","td_ICERD","td_CEDAW","td_CRC","td_CAT","td_CRPD","td_CPED","td_ICRMW","bin_ICCPR","bin_ICESCR","bin_ICERD","bin_CEDAW","bin_CRC","bin_CAT","bin_CRPD","bin_CPED","bin_ICRMW","hdi_m","gdp_m","span_y","Main.religion"
"90","Montenegro",14566.0416666667,14566.0416666667,14916.0416666667,9732.04166666667,6181.04166666667,7987.04166666667,6894.04166666667,1635.08333333333,NA,1,1,1,1,1,1,1,1,0,0.7858,10692.6538461538,10,"Christianity"
"91","Morocco",4531.04166666667,4531.04166666667,1823.04166666667,4860.04166666667,1309.04166666667,3115.04166666667,6686.04166666667,2237.08333333333,-4977.95833333333,1,1,1,1,1,1,1,1,1,0.5528,5602.11538461538,0,"Islam"
"92","Mozambique",9724.04166666667,NA,6327.04166666667,6260.04166666667,1618.04166666667,5391.04166666667,7713.04166666667,NA,2386.04166666667,1,0,1,1,1,1,1,0,1,0.3232,799.192307692308,0,"Christianity"
"93","Myanmar",NA,18567.0416666667,NA,6352.04166666667,602.041666666667,NA,7659.04166666667,NA,NA,0,1,0,1,1,0,1,0,0,0.460766666666667,2526.26923076923,0,"Buddhism"
"94","Namibia",10219.0416666667,10219.0416666667,6169.04166666667,4650.04166666667,314.041666666667,3640.04166666667,6195.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.587178571428571,6691.03846153846,0,"Christianity"
"95","Nepal",8925.04166666667,8925.04166666667,1866.04166666667,4069.04166666667,298.041666666667,2346.04166666667,7080.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.462533333333333,1666.07692307692,8,"Hinduism"
"96","Netherlands",4388.04166666667,4388.04166666667,2180.04166666667,4161.04166666667,1904.04166666667,1472.04166666667,9310.04166666667,1454.08333333333,NA,1,1,1,1,1,1,1,1,0,0.8802,39357.5,119,"Christianity"
"97","New Zealand",4405.04166666667,4405.04166666667,2528.04166666667,1776.04166666667,1233.04166666667,1826.04166666667,6491.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.872066666666667,26973.8076923077,159,"Christianity"
"98","Nicaragua",4845.04166666667,4845.04166666667,4439.04166666667,605.041666666667,319.041666666667,7512.04166666667,6198.04166666667,NA,-467.958333333333,1,1,1,1,1,1,1,0,1,0.575633333333333,3191.15384615385,32,"Christianity"
"99","Niger",7031.04166666667,7031.04166666667,492.041666666667,7160.04166666667,314.041666666667,5047.04166666667,6398.04166666667,3038.08333333333,771.041666666667,1,1,1,1,1,1,1,1,1,0.272566666666667,769.961538461538,7,"Islam"
"100","Nigeria",9732.04166666667,9732.04166666667,664.041666666667,1930.04166666667,515.041666666667,6044.04166666667,7220.04166666667,850.083333333333,902.041666666667,1,1,1,1,1,1,1,1,1,0.494733333333333,3833.19230769231,33,"Christianity"
"101","Norway",2108.04166666667,2108.04166666667,1689.04166666667,446.041666666667,414.041666666667,576.041666666667,8203.04166666667,4528.08333333333,NA,1,1,1,1,1,1,1,1,0,0.9102,58190.7692307692,116,"Christianity"
"102","Oman",NA,19544.0416666667,13526.0416666667,9474.04166666667,2576.04166666667,12965.0416666667,6594.04166666667,4823.08333333333,NA,0,1,1,1,1,1,1,1,0,0.774555555555556,27030.6923076923,0,"Islam"
"103","Pakistan",15905.0416666667,15108.0416666667,274.041666666667,5855.04166666667,357.041666666667,9326.04166666667,7504.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.474066666666667,3351.92307692308,8,"Islam"
"104","Panama",3745.04166666667,3745.04166666667,603.041666666667,607.041666666667,387.041666666667,987.041666666667,6076.04166666667,1547.08333333333,NA,1,1,1,1,1,1,1,1,0,0.7241,12294.9230769231,25,"Christianity"
"105","Paraguay",9318.04166666667,9318.04166666667,13754.0416666667,2592.04166666667,309.041666666667,1918.04166666667,6469.04166666667,1222.08333333333,595.041666666667,1,1,1,1,1,1,1,1,1,0.6381,5538.88461538462,13,"Christianity"
"106","Peru",4161.04166666667,4161.04166666667,2108.04166666667,926.041666666667,288.041666666667,1305.04166666667,6252.04166666667,2007.08333333333,-509.958333333333,1,1,1,1,1,1,1,1,1,0.6805,6740.23076923077,15,"Christianity"
"107","Philippines",7261.04166666667,2740.04166666667,633.041666666667,522.041666666667,274.041666666667,555.041666666667,6328.04166666667,NA,-4233.95833333333,1,1,1,1,1,1,1,0,1,0.6347,4887.73076923077,30,"Christianity"
"108","Poland",3755.04166666667,3755.04166666667,1080.04166666667,151.041666666667,564.041666666667,1689.04166666667,7952.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.787866666666667,15691.4615384615,27,"Christianity"
"109","Portugal",4209.04166666667,4255.04166666667,6090.04166666667,151.041666666667,305.041666666667,1522.04166666667,6854.04166666667,2495.08333333333,NA,1,1,1,1,1,1,1,1,0,0.7844,21828.5,40,"Christianity"
"110","Qatar",18794.0416666667,18794.0416666667,3866.04166666667,10651.0416666667,1960.04166666667,5510.04166666667,6356.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.809633333333333,87565.1923076923,0,"Islam"
"111","Romania",2925.04166666667,2925.04166666667,1729.04166666667,677.041666666667,312.041666666667,2199.04166666667,7349.04166666667,NA,NA,1,1,1,1,1,1,1,0,0,0.744392857142857,11538.3461538462,25,"Christianity"
"112","Rwanda",3053.04166666667,3053.04166666667,3403.04166666667,366.041666666667,430.041666666667,8771.04166666667,6572.04166666667,NA,678.041666666667,1,1,1,1,1,1,1,0,1,0.372666666666667,1029.61538461538,0,"Christianity"
"113","Saint Lucia",NA,NA,8821.04166666667,951.041666666667,1304.04166666667,NA,10768.0416666667,NA,NA,0,0,1,1,1,0,1,0,0,0.717833333333333,7468.84615384615,37,"Christianity"
"114","Sao Tome and Principe",18298.0416666667,18298.0416666667,18648.0416666667,8494.04166666667,540.041666666667,11719.0416666667,9088.04166666667,NA,3626.04166666667,1,1,1,1,1,1,1,0,1,0.508266666666667,2378.69230769231,25,"Christianity"
"115","Saudi Arabia",NA,NA,11599.0416666667,7495.04166666667,2258.04166666667,4670.04166666667,6398.04166666667,NA,NA,0,0,1,1,1,1,1,0,0,0.771357142857143,29120.2307692308,0,"Islam"
"116","Senegal",4087.04166666667,4087.04166666667,2311.04166666667,1802.04166666667,253.041666666667,619.041666666667,7203.04166666667,622.083333333333,-2798.95833333333,1,1,1,1,1,1,1,1,1,0.413533333333333,1970.11538461538,16,"Islam"
"117","Serbia",12515.0416666667,12515.0416666667,12865.0416666667,7681.04166666667,4130.04166666667,5936.04166666667,6800.04166666667,1510.08333333333,NA,1,1,1,1,1,1,1,1,0,0.734892857142857,9008.84615384615,10,"Christianity"
